Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
160,HAL043,"Daresbury Garden Village (Southern Housing Area - Between Office Village, Daresbury Park and  Bridgewater Canal)",Halton,Halton,Medium,0,WA4 4GU,Castle Green Homes,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,417,19.84,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Outline/Hybrid consent granted,,Private - mixed,Market/Developer Led,,2022,2030,,0,,,,,,,,,,,,
161,HAL044,Daresbury Garden Village (Central Housing Area - Between Canal and Railway),Halton,Halton,Medium,0,WA4 4GU,Redrow Homes,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,500,20.77,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Outline/Hybrid consent granted,,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
162,HAL045,Sandymoor South (Phase 2 - Land South of Walsingham Drive),Halton,Halton,Short,0,WA7 1XF,Keepmoat,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village. 199 Minus 44 Affordable in Magenta Submission ,155,16.63,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Allocated and/or planning application,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Homes England Land Disposal,,2026,2030,,0,,,,,,,,,,,,
163,HAL046,Wharford Farm (North and Central),Halton,Halton,Medium,0,WA7 6RG,TBC,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,190,25.51,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Allocated and/or planning application,,Public,Homes England Land Disposal,,Unknown,Unknown,,0,,,,,,,,,,,,
164,HAL047,Wharford Farm (North and Central),Halton,Halton,Medium,0,WA7 6RG,TBC,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,410,17.42,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Allocated and/or planning application,,Public,Homes England Land Disposal,,Unknown,Unknown,,0,,,,,,,,,,,,
165,HAL048,"Wharford Farm (South - Land surrounding Preston Brook Marina, Marina Lane )",Halton,Halton,Long,0,WA7 3AF,TBC,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,57,2.83,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Allocated and/or planning application,,Public,Unknown,,Unknown,Unknown,,0,,,,,,,,,,,,
166,HAL049,Daresbury Garden Village (Northern Housing Area - Delph Lane West),Halton,Halton,Short,0,WA4 6NH,TBC,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,338,19.08,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Full/RM Consent in Place,,Single Private,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
167,HAL050,Land at Hill Top Farm (Former E-Scape),Halton,Halton,Short,0,WA4 4AZ,TBC,"This exciting project will deliver 90 new build apartments, 47 x 1 bed and 43 x 2 bed, within two residential buildings of 4 and 4-6 storeys. The development will include a new access, landscaping and parking, following demolition. The scheme has planning permission 23F/1939, March 2025. The site has also been bought in and is owned by the Sovini Group. ",117,4.89,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Allocated and/or planning application,,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,Increased Grant to achieve increased final tenure mic of Social rent ,,,,,,,,,,
168,HAL051,Land between Chester Rd and M56 at Preston-on-the-Hill,Halton,Halton,Medium,0,WA4 4BA,Morris Homes,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,136,6.96,Greenfield,Yes,Runcorn,102 Open Market; 19 Affordable Rent; 6 Intermediate; 9 First Homes,No,,Full/RM Consent in Place,,Private - mixed,Market/Developer Led,,2026,Unknown,,0,,,,,,,,,,,,
170,HAL053,Highways Agency Depot,Halton,Halton,Long,0,WA7 3AT,TBC,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,24,0.88,Brownfield,Yes,Runcorn,Open Market ,No,,Allocated and/or planning application,,Public,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
171,HAL054,"(Safeguarded Land) to the west of Barkers Hollow Road, Dutton",Halton,Halton,Long,0,WA4 4LN,TBC,"Former council owned site, being sold to Northstone subject to planning, Magenta Living negotiating on S106 units. Redevelopment of brownfield site (former MOD site). ",140,5,Greenfield,Yes,Runcorn,Mixed Tenure,No,,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
172,HAL055,"(Safeguarded Land) between Keckwick and the Tunnel Top, Daresbury Lane, Daresbury ",Halton,Halton,Long,0,WA4 4LN,TBC,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,252,9,Greenfield,Yes,Runcorn,Mixed Tenure,No,,"No Allocation, No Planning Permission, expired permission or other ",,Unknown,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
173,HAL056,(Safeguarded Land)  between Canal and Barkers Hollow Road ,Halton,Halton,Long,0,WA4 4LN,TBC,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,781,27.9,Greenfield,Yes,Runcorn,Mixed Tenure,No,,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
174,HAL057,(Safeguarded Land) at Preston-on-the-Hill,Halton,Halton,Long,0,WA4 4LN,TBC,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,592,21.2,Greenfield,Yes,Runcorn,Mixed Tenure,No,,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
175,HAL058,"(Safeguarded Land) at Field House, Summer Lane ",Halton,Halton,Long,0,WA4 4AZ,TBC,Part of the delivery of circa 2354 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Preston-on-the-Hill and Barkers Hollow. ,268,9.6,Greenfield,Yes,Runcorn,Mixed Tenure,No,,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Market/Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
176,HAL059,Priory Meadow,Halton,Halton,Short,0,WA7 1SX,TBC,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,164,7.54,Greenfield,Yes,Runcorn,Mixed Tenure,,,Allocated and/or planning application,,Private - mixed,Market/Developer Led,,2027,2030,,0,,,"Fire damaged listed building requires extensive repairs and conversion costs will be high, leading to anticipated viability challenges. The landowner has gone into administration - the site is currently being controlled by the administrators, who are marketing the site.",,,,,,,,,
177,HAL060,Former Panorama Hotel ,Halton,Halton,Short,0,WA7 2AU,PossAbilities,19 Apartments for Supported Living ,19,,Brownfield,,,,,,,,,,,,,,0,,,"Multiple land owners (Council and Archdiocese) - to maximise delivery, it should come forward as one development site. Feasibility required to bring the site to market - any technical development constraints are still unknown.",,,,,,,,,
179,SEF001,"Moss Lane, Southport",Sefton,Sefton,Long,0,PR9 7QS,Redrow,"Approx 450 homes, allocated within Local Plan. Land is currently optioned by Redrow.",450,18.3,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2028/29,2029/30,2035/36,Coordination failure,1,,Anticipated viability gap due to ground conditions and highways infrastructure requirement,Deep peat soils and high development costs. Flood risk and highways access issues. It has been stalled for a number of years as Redrow have an option to acqure the land but have experienced issues accessing the site to carry out necessary site investigations due to the agricultural tenant on site.,,,,,,,,,
180,SEF002,"Crowland Street, Southport",Sefton,Sefton,Long,1,PR9 7RS,Homes England,678 homes site on mostly greenfield land. Homes England have acquired ownership interests to assemble the whole 25ha site working toward outline planning consent.,678,25.8,Greenfield,Yes,Sefton LCWIP,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,2029/30,2029/30,2035/36,Imperfect information,1,,Viability gap,The site has very difficult ground conditions (peat) with significant piling required. Requires significant drainage infrastructure. Acess options are limited.,,,,,,,,,
181,SEF003,"Ainsdale Hope School, Southport",Sefton,Sefton,Medium,0,PR8 2PJ,Sefton Council,"120 homes site on a former high school, allocated in the Local Plan.",120,9.2,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2028/29,2028/29,2030/2031,Imperfect information,1,100000,Further site investigations are required - a viability gap is anticipated due to the likely challenging ground conditions / ecological constraints,Site known to have protected species - potential requirement for part of site to include nature reserve/ecological improvement area. Ground conditions likely to be an issue due to area. Site currently in active use - need relocating.,,,,,,,,,
182,SEF004,"Moor Lane, Ainsdale",Sefton,Sefton,Medium,0,PR8 3NY,,c. 400 units split across 3 plots which lie within Liverpool's historic Chinatown + close to Baltic triangle district,69,3.2,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2028/29,2029/30,2031/32,Imperfect information,1,,Coordination/facilitation support,The landowner does not appear motivated to bring the site forward. The site is in relatively close proximity to a Grade II listed farmhouse (Southport Old Road) and therefore sensitivity will need to be accounted for in the layout/design (may impact density of development). ,,,,,,,,,
183,SEF005,"Elmcroft Lane, Hightown",Sefton,Sefton,Medium,0,L38 3RN,,"Local plan allocation for 120 homes, landowner does not appear to want to bring the site forward.",120,6.5,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2028/29,2028/29,2030/31,Imperfect information,1,,Anticipated viability gap due to constraints.,"The access to the site will need to be considered. It is anticipated that the ground conditions are challenging, requiring abnormal foundations. ",,,,,,,,,
184,SEF006,St Raymonds,Sefton,Sefton,Medium,0,L30 0QY,,"Local plan allocation for 53 homes, part owned by Council and part owned by Archdiocese of Liverpool",53,1.9,Greenfield,No,,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Mixed - Public/Private ,,2028/29,2028/29,2030/31,Imperfect information,1,50000,Feasibility required and potential unknown viability gap,"Multiple landowners - the Archidocese have marketed their part of the site individually, which could result in only part of the site coming forward.",,,,,,,,,
185,SEF007,Dale Acre School,Sefton,Sefton,Medium,0,L30 2QQ,,"Local plan allocation for 37 homes, under Council ownership",37,1,Greenfield,No,,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,2028/29,2028/29,2030/31,Imperfect information,1,100000,"Feasibility required and site investigations, potential unknown viability gap",Lack of available revenue funding to progress the site - constraints unknown at this stage,,,,,,,,,
186,SEF008,"Coffee House, Bootle",Sefton,Sefton,Medium,0,L20 4AP,SAFE Regeneration,"Local plan allocation for 72 homes, part ownership by SAFE and Council. Working with Plus Dane to potentially deliver 100% affordable and extra care.",72,1.6,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,,2026/27,2026/27,2028/29,Imperfect information,1,,Viability gap,"Viability, Abnormals on site ",,,,,,,,,
187,SEF009,Land East of Maghull North,Sefton,Sefton,Medium,0,L31 1HH,Anwyl (site B),Strategic development and local plan allocation for 1400 homes and employment space. Delivery underway for Site A (circa 500 homes) and outline consent for site B - 880 homes.,880,37,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Outline/Hybrid consent granted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Mixed - Public/Private ,,2028/29,2029/30,2035/36,Public good issue,1,,Infrastructure funding to enable spine road.,Multiple landowners. Requirement for spine road to unlock delivery of the site.,,,,,,,,,
188,SEF010,"40 Lancaster Road, Birkdale",Sefton,Sefton,Medium,0,PR8 2JY,,Live permission for 147 extra care units and included in the SHLAA. Scheme has stalled due to landowner administration.,147,3.9,Greenfield,No,,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2026/27,2026/27,2028/29,Public good issue,1,,Viability gap,"Fire damaged listed building requires extensive repairs and conversion costs will be high, leading to anticipated viability challenges. The landowner has gone into administration - the site is currently being controlled by the adminstrators, who are marketing the site.",,,,,,,,,
189,SEF011,Ambrose Barlow School,Sefton,Sefton,Medium,0,L30 7PQ,,"179 unit site, designated as an ""institution"" in the Local Plan. Not come forward previously due to legislation preventing disposal of school playing fields - due to expire in 2026.",179,6.5,Greenfield,No,,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,,2028/29,2028/29,2030/31,Imperfect information,1,100000,"Feasibility/investigations, unknown potential viability gap.","Multiple land owners (Council and Archdiocese) - to maximise delivery, it should come forward as one development site. Feasibility required to bring the site to market - any technical development constraints are stil unknown.",,,,,,,,,
190,SEF012,TT Cables / Peoples,Sefton,Sefton,Medium,1,L20 9AT,McDermott Homes* (not public information),Vacant site allocated for 110 homes within emerging Bootle Area Action Plan and Canal Corridor Regen Area. Forms part of Liverpool North New Town proposal.,110,2.9,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,,2027/28,2028/29,2030/31,Imperfect information,1,,Viability gap,"There is known presence of contaminants on site following historic site investigations, further on site investigations are due to start this Summer to determine the extent.",,,,,,,,,
191,SEF013,Bootle Gas Works,Sefton,Sefton,Medium,0,L20 5AU,,"210 unit site, within Bootle Area Action Plan.",210,6.2,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2028/29,2029/30,2032/33,Public good issue,1,,Viability gap,"Due to the most recent use of the site and historic uses in the area, there are likely ground contamination issues and remediation will be required. National Grid are currently dismantling the gas holders before selling, but they do not remediate the site to residential standards.",,,,,,,,,
193,SEF015,"Acorn Way, Bootle",Sefton,Sefton,Long,0,L20 6QA,,210 unit site with fragmented ownership - several freeholders and leaseholders. Within Bootle Area Action Plan.,210,3.5,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,,2030/31,2032/33,2034/35,Public good issue,1,100000,"Site assembly, feasibility and anticipated viability gap.","Multiple land owners (freeholders/leaseholders) and occupiers with live business interests. Due to current/historic uses in the area, land contamination issues are anticipated. ",,,,,,,,,
194,SEF016,The Triad,Sefton,Sefton,Short,1,L20 3LT,IPG,228 unit site considered key scheme for Bootle regeneration.,228,0.28,Brownfield,Yes,Sefton LCWIP,100% Market,Yes,Bootle Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2025/26,2026/27,2027/28,Public good issue,1,,Viability gap,"The cost of converting the building is extremely high due to extent of asbestos (particularly within the window casings), this has led to a viability gap in delivering the scheme (likely also influenced by lack of existing residential market in the town centre)",,,,,,,,,
195,SEF017,"St Johns House, Bootle",Sefton,Sefton,Medium,1,L75 1BB,Tony and Richard Criss,"325 unit site, with mixed ownership and some landowners unwilling to bring site forward.",325,2.5,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Mixed - Public/Private ,,2028/29,2028/29,2030/31,Coordination failure,1,,Viability gap,"There is 2 individual private land owners - there is currently a lack of coordination to assemble the site as a whole. The area has low values, and there is a lack of established residential market, which impacts development viability",,,,,,,,,
196,SEF018,"Park House, Waterloo",Sefton,Sefton,Short,1,L22 3XG,Anchor,Live permission for 106 units affordable independent living apartments.,106,1.2,Brownfield,No,,100% affordable,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private,,2026/27,2027/28,2029/30,Public good issue,1,,Viability gap,Building requires demolition. Land contamination issues identified - remediation required. Viability gap identified. ,,,,,,,,,
